id_esc30,latitude,longitude,site_id,site_name,snow_depth_1,snow_depth_2,snow_mass_1,snow_mass_2,snow_rho_1,snow_rho_2
1,79.93669502,-86.64656273,1,transect,0.28,0.08,0.304,0.064,372,274
2,79.94104556,-86.64860582,1,transect,0.12,0.22,0.119,0.209,339,325
3,79.94568704,-86.64963218,1,transect,0.18,0.24,0.169,0.259,321,369
4,79.94941422,-86.65131711,1,transect,0.15,0.23,0.144,0.219,328,326
5,79.95357315,-86.6528769,1,transect,0.18,0.13,0.164,0.104,312,274
6,79.95733285,-86.65370587,1,transect,0.07,0.12,0.054,0.119,264,339
7,79.96013216,-86.65337881,1,transect,0.22,0.15,0.184,0.114,286,260
8,79.96348316,-86.65289207,1,transect,0.18,0.15,0.149,0.129,283,294
9,79.96663769,-86.65649696,1,transect,0.08,0.28,0.064,0.244,274,298
10,79.96949684,-86.65820813,1,transect,0.53,0.55,0.514,0.494,332,307
11,79.97287022,-86.65957966,1,transect,0.32,0.31,0.309,0.274,330,302
12,79.97578955,-86.66111279,1,transect,0.2,0.18,0.164,0.164,281,312
13,79.97855114,-86.6623876,1,transect,0.4,0.39,0.344,0.384,294,337
14,79.98183332,-86.66387689,1,transect,0.2,0.08,0.194,0.084,332,359
15,79.98496489,-86.66445851,1,transect,0.15,0.12,0.154,0.114,351,325
16,79.98858553,-86.66520392,1,transect,0.1,0.23,0.144,0.254,493,378
17,79.99239578,-86.66683294,1,transect,0.32,0.24,0.344,0.234,368,334
18,79.99583068,-86.66868953,1,transect,0.28,0.14,0.274,0.119,335,291
19,79.99968016,-86.67075274,1,transect,0.1,0.15,0.099,0.144,339,328
20,80.00306133,-86.67177717,1,transect,0.12,0.08,0.094,0.049,268,210
21,80.00979007,-86.67418085,1,transect,0.58,0.32,0.549,0.294,324,314
22,80.00980097,-86.67416677,1,transect,0.23,0.2,0.244,0.194,363,332
23,80.01338147,-86.67556009,1,transect,0.24,0.07,0.254,0.029,362,142
24,80.01789311,-86.67808975,1,transect,0.22,0.24,0.184,0.234,286,334
25,80.02086969,-86.67890707,1,transect,0.06,0.12,0.029,0.084,165,240
26,80.02442085,-86.68055269,1,transect,0.15,0.17,0.114,0.134,260,270
27,80.02809833,-86.68283357,1,transect,0.08,0.3,0.074,0.324,317,370
28,80.03161026,-86.68478639,1,transect,0.27,0.58,0.234,0.579,297,342
29,80.0365488,-86.68534789,1,transect,0.29,0.27,0.324,0.239,382,303
30,80.04156184,-86.68674038,1,transect,0.24,0.05,0.249,0.034,355,233
