id_mgn,latitude,longitude,site_id,snow_depth
1,80.04670167,-86.6894117,1,0.071
2,80.04670167,-86.6894,1,0.051
3,80.04672166,-86.689435,1,0.061
4,80.046735,-86.6894417,1,0.058
5,80.04675,-86.68945,1,0.039
6,80.04676666,-86.689475,1,0.036
7,80.04678333,-86.6894884,1,0.05
8,80.04678333,-86.6895249,1,0.039
9,80.046795,-86.6895417,1,0.04
10,80.046805,-86.689575,1,0.051
11,80.04682,-86.6895933,1,0.129
12,80.04683333,-86.6895817,1,0.046
13,80.04684667,-86.6895916,1,0.035
14,80.04686333,-86.68959,1,0.069
15,80.04687167,-86.6896284,1,0.111
16,80.04688333,-86.6896383,1,0.045
17,80.04689833,-86.689635,1,0.039
18,80.04691833,-86.6896183,1,0.029
19,80.04693,-86.6896233,1,0.034
20,80.04694333,-86.689625,1,0.064
21,80.04695667,-86.68963,1,0.065
22,80.04696667,-86.68963,1,0.057
23,80.04698167,-86.6896517,1,0.076
24,80.046995,-86.6896517,1,0.207
25,80.04700667,-86.68965,1,0.344
26,80.04702667,-86.6896766,1,0.394
27,80.04703166,-86.6896867,1,0.147
28,80.04704167,-86.689685,1,0.177
29,80.04705833,-86.6896684,1,0.163
30,80.047075,-86.6897033,1,0.099
31,80.04708667,-86.689725,1,0.095
32,80.047105,-86.6897517,1,0.091
33,80.04712,-86.6897617,1,0.078
34,80.047115,-86.6896517,1,0.087
35,80.04712667,-86.68972,1,0.064
36,80.047145,-86.689745,1,0.08
37,80.04715833,-86.6897233,1,0.154
38,80.04717333,-86.689725,1,0.216
39,80.04718667,-86.6897267,1,0.081
40,80.0472,-86.6897383,1,0
41,80.047205,-86.6897367,1,0.086
42,80.04722167,-86.68974,1,0.075
43,80.04723,-86.6897633,1,0.104
44,80.04724833,-86.6898,1,0.094
45,80.04725166,-86.6897883,1,0.082
46,80.047265,-86.68981,1,0.092
47,80.047275,-86.6898283,1,0.128
48,80.04729333,-86.6898283,1,0.077
49,80.04730666,-86.6898383,1,0.06
50,80.04732333,-86.6898383,1,0.062
51,80.047335,-86.689845,1,0.067
52,80.04735167,-86.68984,1,0.109
53,80.04736,-86.6898333,1,0.169
54,80.04737334,-86.6898267,1,0.211
55,80.047385,-86.6898283,1,0.19
56,80.0474,-86.68983,1,0.136
57,80.04741667,-86.6898283,1,0.151
58,80.04742334,-86.6898467,1,0.125
59,80.047435,-86.689845,1,0.076
60,80.047445,-86.6898534,1,0.071
61,80.04746167,-86.68987,1,0.09
62,80.04747166,-86.68987,1,0.092
63,80.04748667,-86.68988,1,0.035
64,80.04749833,-86.6898783,1,0.058
65,80.04751333,-86.6898733,1,0.155
66,80.04753,-86.6899033,1,0.154
67,80.04754334,-86.6899067,1,0.178
68,80.04755833,-86.689875,1,0.283
69,80.04756667,-86.6898834,1,0.211
70,80.047585,-86.6898767,1,0.052
71,80.04759334,-86.6898717,1,0.062
72,80.04761166,-86.6898517,1,0.097
73,80.04762167,-86.6898433,1,0.148
74,80.04763667,-86.6898566,1,0.142
75,80.04764833,-86.6898617,1,0.158
76,80.04766167,-86.68988,1,0.235
77,80.04767,-86.689885,1,0.18
78,80.047685,-86.6899016,1,0.105
79,80.04769666,-86.6898984,1,0.116
80,80.04770667,-86.6898984,1,0.169
81,80.04771833,-86.6898767,1,0.143
82,80.04774,-86.6898834,1,0.248
83,80.04775333,-86.6899267,1,0.258
84,80.04776333,-86.6899233,1,0.147
85,80.047775,-86.6899317,1,0.081
86,80.04779,-86.6899,1,0.083
87,80.047805,-86.6898767,1,0.086
88,80.047825,-86.6898733,1,0.109
89,80.04782833,-86.6898816,1,0.148
90,80.047845,-86.6898966,1,0.176
91,80.047865,-86.6899283,1,0.2
92,80.04787333,-86.6899583,1,0.2
93,80.047885,-86.68994,1,0.206
94,80.0479,-86.689945,1,0.16
95,80.04790666,-86.6899617,1,0.113
96,80.04791833,-86.6899583,1,0.074
97,80.04793167,-86.6899467,1,0.046
98,80.047945,-86.6899467,1,0.04
99,80.04796,-86.6899534,1,0.062
100,80.04797167,-86.689965,1,0.038
101,80.04798834,-86.68998,1,0.034
102,80.048,-86.6900167,1,0.021
103,80.048015,-86.6900133,1,0.025
104,80.04803,-86.6900184,1,0.031
105,80.04804,-86.6900184,1,0.118
106,80.04805167,-86.690035,1,0.241
107,80.04806333,-86.6900433,1,0.283
108,80.04807834,-86.690035,1,0.304
109,80.04809333,-86.690055,1,0.226
110,80.048105,-86.6900533,1,0.106
111,80.04811833,-86.69006,1,0.177
112,80.04813,-86.6900683,1,0.25
113,80.04813833,-86.6900517,1,0.223
114,80.04815167,-86.6900433,1,0.204
115,80.04816334,-86.6900483,1,0.128
116,80.04818833,-86.6900533,1,0.079
117,80.048195,-86.69006,1,0.08
118,80.048205,-86.6900784,1,0.067
119,80.04821666,-86.6900766,1,0.084
120,80.04823167,-86.69009,1,0.025
121,80.04824667,-86.6901117,1,0.024
122,80.04826,-86.6900933,1,0.022
123,80.04827167,-86.690105,1,0.036
124,80.04828167,-86.6900733,1,0.047
125,80.04829834,-86.6900766,1,0.084
126,80.04831,-86.69009,1,0.126
127,80.04832333,-86.6900766,1,0.108
128,80.04833,-86.6900817,1,0.082
129,80.04835166,-86.690095,1,0.153
130,80.04835667,-86.6901,1,0.117
131,80.04836667,-86.6900983,1,0.083
132,80.048385,-86.6901084,1,0.097
133,80.04839667,-86.6901217,1,0.086
134,80.04841167,-86.6901217,1,0.073
135,80.04841834,-86.69012,1,0.061
136,80.048425,-86.690115,1,0.065
137,80.04844833,-86.6901333,1,0.048
138,80.048455,-86.6901066,1,0.056
139,80.048475,-86.6901217,1,0.073
140,80.04848666,-86.6901233,1,0.08
141,80.04849833,-86.690105,1,0.102
142,80.04851,-86.6901017,1,0.161
143,80.04852,-86.6901017,1,0.166
144,80.04853167,-86.6901034,1,0.119
145,80.04855667,-86.6901084,1,0.057
146,80.04856167,-86.6901333,1,0.053
147,80.04857166,-86.6901267,1,0.126
148,80.04857833,-86.690135,1,0.124
149,80.04859333,-86.6901317,1,0.09
150,80.04860333,-86.6901184,1,0.163
151,80.04861833,-86.6901184,1,0.122
152,80.04863167,-86.6901184,1,0.116
153,80.04864,-86.69014,1,0.162
154,80.04865333,-86.6901466,1,0.282
155,80.048665,-86.6901484,1,0.374
156,80.04867667,-86.69018,1,0.377
157,80.04869,-86.690185,1,0.314
