id_pit,hag_top,hag_bottom,pit_snow_depth,hbs_top,hbs_bottom,section_height,snow_density,notes
1,12.5,9.5,12.5,0,3,3,0.241,
1,9.5,7.5,12.5,3,5,2,0.327,
1,7.5,4.5,12.5,5,8,3,0.3065,
1,4.5,1.5,12.5,8,11,3,0.312,
2,10,7,10,0,3,3,0.405,
2,8,4,10,2,6,4,0.335,
2,4,1,10,6,9,3,0.225,
3,19,15,19,0,4,4,0.27,
3,15,13,19,4,6,2,0.255,
3,13,10,19,6,9,3,0.25,
3,10,7,19,9,12,3,0.235,
3,7,4,19,12,15,3,0.27,
3,4,1,19,15,18,3,0.195,
4,20,17,20.5,0.5,3.5,3,0.3295,
4,17,14,20.5,3.5,6.5,3,0.333,
4,14,11,20.5,6.5,9.5,3,0.327,
4,11,8,20.5,9.5,12.5,3,0.3345,
4,8,5,20.5,12.5,15.5,3,0.353,
4,5,3,20.5,15.5,17.5,2,0.198,
4,3,0,20.5,17.5,20.5,3,0.186,
5,8,5,8.5,0.5,3.5,3,0.387,
5,5,2,8.5,3.5,6.5,3,0.309,
5,2,0,8.5,6.5,8.5,2,,Could not get a clean sample to the bottom
6,20,17,20,0,3,3,0.24,
6,17,14,20,3,6,3,0.2395,
6,14,11,20,6,9,3,0.2125,
6,11,8,20,9,12,3,0.2525,
6,8,5,20,12,15,3,0.293,
6,5,2,20,15,18,3,0.1685,
7,17,14,20,3,6,3,0.1515,
7,14,11,20,6,9,3,0.2,
7,11,8,20,9,12,3,0.322,
7,8,5,20,12,15,3,0.2235,
7,5,0,20,15,20,5,0.159,
8,31,28,31,0,3,3,0.219,Second line not completed due to time constrains
8,28,25,31,3,6,3,0.222,
8,25,22,31,6,9,3,0.324,
8,22,19,31,9,12,3,0.407,
8,19,16,31,12,15,3,0.381,
8,16,13,31,15,18,3,0.367,
8,13,10,31,18,21,3,0.341,
8,10,7,31,21,24,3,0.219,
8,7,4,31,24,27,3,0.161,
8,4,1,31,27,30,3,,Rough Ice surface blocking
9,15,12,15.5,0.5,3.5,3,0.1945,
9,12,9,15.5,3.5,6.5,3,0.1915,
9,9,6,15.5,6.5,9.5,3,0.2485,
9,6,3,15.5,9.5,12.5,3,0.2245,
9,3,0,15.5,12.5,15.5,3,0.2375,
10,13,10,13,0,3,3,0.322,
10,10,7,13,3,6,3,0.406,
10,7,4,13,6,9,3,0.348,
10,4,1,13,9,12,3,0.207,
11,15,11,15,0,4,4,0.2575,
11,11,8,15,4,7,3,0.2415,
11,8,6,15,7,9,2,0.324,
11,6,3,15,9,12,3,0.203,
11,3,0,15,12,15,3,0.2005,
12,12,9,12.5,0.5,3.5,3,0.1995,
12,9,6,12.5,3.5,6.5,3,0.317,
12,6,3,12.5,6.5,9.5,3,0.227,
12,3,0,12.5,9.5,12.5,3,0.2325,
13,20,17,20,0,3,3,0.244333333,
13,17,14,20,3,6,3,-0.063166667,
13,14,11,20,6,9,3,-0.374166667,
13,11,8,20,9,12,3,-0.677,
13,8,5,20,12,15,3,-0.985333333,
13,3,0,20,17,20,3,-1.296666667,
14,27,24,27,0,3,3,0.265,Only 1 line completed for time
14,24,21,27,3,6,3,0.285,
14,21,18,27,6,9,3,0.26,
14,18,15,27,9,12,3,0.237,
14,15,12,27,12,15,3,0.397,
14,12,9,27,15,18,3,0.373,
14,9,6,27,18,21,3,0.354,
14,6,0,27,21,27,6,0.164,
15,20,17,20,0,3,3,0.285,
15,17,14,20,3,6,3,0.301,
15,14,11,20,6,9,3,0.284,
15,11,8,20,9,12,3,0.393,
