id_pit,hag_top,hag_bottom,pit_snow_depth,hbs_top,hbs_bottom,section_height,salinity_psu
17,12,8.5,12,0,3.5,3.5,0.2
17,8.5,8,12,3.5,4,0.5,0
17,8,0,12,4,12,8,0
17,0,,12,12,,,16.7
18,15,12,15,0,3,3,0
18,12,9,15,3,6,3,0
18,9,6,15,6,9,3,0
18,6,3,15,9,12,3,0
18,3,0,15,12,15,,0
18,0,,15,15,,,11
19,32,29,32,0,3,3,0
19,29,23,32,3,9,6,0
19,23,22,32,9,10,1,0
19,22,20,32,10,12,2,0
19,20,17,32,12,15,3,0
19,17,14,32,15,18,3,0
19,14,11,32,18,21,3,0
19,11,8,32,21,24,3,0
19,8,5,32,24,27,3,0
19,0,,32,32,,,5.7
20,20,17,20,0,3,3,0
20,17,14,20,3,6,3,0
20,14,11,20,6,9,3,0.1
20,11,8,20,9,12,3,0
20,8,5,20,12,15,3,0
20,5,3,20,15,17,2,0.6
20,3,0,20,17,20,3,1.2
20,0,,20,20,,,22
21,17,14,17,0,3,3,0
21,14,11,17,3,6,3,0
21,11,8,17,6,9,3,0
21,8,5,17,9,12,3,0
21,5,3,17,12,14,2,0.1
21,3,0,17,14,17,3,0
21,0,,17,17,,,5.3
28,13,10,13,0,3,3,0
28,10,7,13,3,6,3,0
28,7,3,13,6,10,4,0.2
28,3,0,13,10,13,3,0.8
28,0,,13,13,,,6.7
29,21,18,21,0,3,3,0
29,18,15,21,3,6,3,0
29,15,12,21,6,9,3,0
29,12,9,21,9,12,3,0
29,9,6,21,12,15,3,0
29,6,3,21,15,18,3,0.3
29,3,0,21,18,21,3,0.4
29,0,,21,21,,,6.1
30,13,10,13,0,3,3,0
30,10,7,13,3,6,3,0
30,7,4,13,6,9,3,0
30,4,1,13,9,12,3,0
30,3,0,13,10,13,3,0.1
30,0,,13,13,,,6.7
31,13,10,13,0,3,3,0
31,10,7,13,3,6,3,0
31,7,4,13,6,9,3,0
31,4,1,13,9,12,3,0.3
31,3,0,13,10,13,3,4.3
31,0,,13,13,,,6.4
32,19,16,19,0,3,3,0
32,16,13,19,3,6,3,0
32,13,10,19,6,9,3,0
32,10,7,19,9,12,3,0
32,7,4,19,12,15,3,0
32,4,1,19,15,18,3,0.7
32,3,0,19,16,19,3,0
32,0,,19,19,,,4.4
