id_pit,hag_top,hag_bottom,pit_snow_depth,hbs_top,hbs_bottom,section_height,gs1,gs2,gs3,gl1,gl2,gl3,short_grain_size,long_grain_size,grain_type,comments,has_crust,has_slab
1,12.5,10,12.5,0,2.5,2.5,,,,,,,,,Mixed Snow,Decomposing Capped Collumns and Needles. 0.1-0.2 mm. 4F.,,
1,10,4,12.5,2.5,8.5,6,,,,,,,,,Round,Wind rounded. 0.1-0.2 mm 1F.,,
1,4,3.8,12.5,8.5,8.7,0.2,,,,,,,,,Faceted,Parting with 0.2-0.5 mm solid facets,,
1,3.8,2,12.5,8.7,10.5,1.8,,,,,,,,,Faceted,Solid facets 0.2-0.5 mm,,
1,2,0,12.5,10.5,12.5,2,,,,,,,,,Depth Hoar,Cuped depth hoar well bonded. 1-1.5. P.,,
2,10,7,10,0,3,3,,,,,,,,,Round,Almost entirely wind rounded grains. Pen hard. 0.1-0.25 mm.,,
2,7,3,10,3,7,4,,,,,,,,,Mixed Snow,Wind rounded and solid facets. 0.25-0.5 mm. Pen hard.,,
2,3,0,10,7,10,3,,,,,,,,,Depth Hoar,Depth hoar cups and some prisims. 1-2 mm. 4F.,,
3,19,8,19,0,11,11,,,,,,,,,Mixed Snow,Mix of decomposing (capped cols) and wind rounded grains 0.2-0.5 mm 4F,,
3,8,4,19,11,15,4,,,,,,,,,Mixed Snow,Solid facets and depth hoar 0.1-1.5 mm 1F,,
3,4,0,19,15,19,4,,,,,,,,,Depth Hoar,Mostly cups 1-2 mm 4F,,
4,20.5,10,20.5,0,10.5,10.5,,,,,,,,,Round,Wind rounded grains pen hard 0.1-0.25,,
4,10,4,20.5,10.5,16.5,6,,,,,,,,,Mixed Snow,Wind rounde grains and solid facets 0.5-1.0 pen hard,,
4,4,0,20.5,16.5,20.5,4,,,,,,,,,Depth Hoar,Depth hoar cups 1-3 mm some prisms found finger hard.,,
5,8.5,4,8.5,0,4.5,4.5,,,,,,,,,Round,Wind rounded graind with some decomposing capped cols. 0.2-0.3 mm. VERY HARD Knife.,,
5,4,0,8.5,4.5,8.5,4,,,,,,,,,Depth Hoar,Depth hoar cups 1-3 mm 4F.,,
6,20,12.5,20,0,7.5,7.5,0.1,0.25,0.25,0.5,0.5,1,0.2,0.666666667,Mixed Snow,"Really complex soft slab. Mixed Solid facets, wind grains, and old needle precip. 4f",,
6,12.5,10,20,7.5,10,2.5,1,1.5,1,0.75,0.5,0.75,1.166666667,0.666666667,Mixed Snow,"Wind rounded, with solid facets/small dh cups 4f",,
6,10,9.5,20,10,10.5,0.5,,,,,,,,,,Strong crust pen hard,,
6,9.5,8,20,10.5,12,1.5,1,1.5,1.5,1,0.5,1,1.333333333,0.833333333,Depth Hoar,Finger hard. Small ice crust on bottom edge.,,
6,8,0,20,12,20,8,1,1.5,1.5,2,3,2,1.333333333,2.333333333,Depth Hoar,Chains of depth hoar.,,
7,17,13,17,0,4,4,0.1,0.2,0.2,0.1,0.5,0.5,0.166666667,0.366666667,Mixed Snow,"Big mix of wind rounded grains, old precip (needles/cappd cols) and solid facets. Fist hard. Soft slab.",,
7,13,12.9,17,4,4.1,0.1,,,,,,,,,,Weak crust,,
7,12.9,10,17,4.1,7,2.9,1,0.5,0.2,0.5,0.5,0.2,0.566666667,0.4,Mixed Snow,"Mostly solid facets, wind blown grains and a few dh cups present. 4 F.",,
7,10,7,17,7,10,3,1,1,1.5,1.5,2,2,1.166666667,1.833333333,Depth Hoar,Depth hoar cups,,
7,7,0,17,10,17,7,1,2,1,3,3,3,1.333333333,3,Depth Hoar,Chains of depth hoar cups,,
8,31,23,31,0,8,8,0.1,0.2,0.2,0.2,0.2,0.2,0.166666667,0.2,Mixed Snow,Fist hard Wind rounded and solid facets,,
8,23,22,31,8,9,1,,,,,,,,,,Parting,,
8,22,16,31,9,15,6,1,0.5,0.5,1,0.5,0.1,0.666666667,0.533333333,Faceted,Knife hard,,
8,16,10,31,15,21,6,1,1.5,1,2,3,2,1.166666667,2.333333333,Depth Hoar,Cups,,
8,10,0,31,21,31,10,4,2,4,6,3,6,3.333333333,5,Depth Hoar,Very large depth hoar,,
9,15.5,12,15.5,0,3.5,3.5,0.1,0.1,0.2,0.2,0.2,0.5,0.133333333,0.3,Mixed Snow,Soft slab composed of wind rounded grains and decomposing needle precip. 4F.,,
9,12,9,15.5,3.5,6.5,3,0.5,0.5,0.2,0.5,0.5,0.2,0.4,0.4,Mixed Snow,Wind rounded grains and solid facets. 4 F.,,
9,9,7,15.5,6.5,8.5,2,1,1.5,1,1.5,2,2,1.166666667,1.833333333,Mixed Snow,Faceted and DH grains. 1 F hard.,,
9,7,5,15.5,8.5,10.5,2,1,1.5,1,2,3,2,1.166666667,2.333333333,Depth Hoar,Depth hoar cups. 1F.,,
9,5,0,15.5,10.5,15.5,5,2,2,3,3,4,6,2.333333333,4.333333333,Depth Hoar,Lage cups and chains of cups. 4 F.,,
10,13,12.8,13,0,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.1,0.133333333,0.166666667,Round,"Wind rounded grains, crust feature, 1F",,
10,12.8,11,13,0.2,2,1.8,1,1,1,2,1,1,1,1.333333333,Depth Hoar,DH cups in small layer below the crust,,
10,11,7,13,2,6,4,1,1.5,1,1,2,1,1.166666667,1.333333333,Mixed Snow,"Wind rounded and solid facets, pen hard",,
10,7,4,13,6,9,3,1,1.5,1,2,2,2,1.166666667,2,Depth Hoar,"Dh cups, 4F",,
10,4,0,13,9,13,4,1,2,1,3,4,3,1.333333333,3.333333333,Depth Hoar,Transitional boarder from previous layer (not a hard change). Large chains 4f.,,
11,15,11,15,0,4,4,0.1,0.1,0.2,0.1,0.1,0.2,0.133333333,0.133333333,Mixed Snow,"Soft slab, wind rounded and decompsing needles 1F",,
11,11,8,15,4,7,3,1,1,1,1,2,1,1,1.333333333,Mixed Snow,Solid facets and wind rounded  fist hard with hard crust at bottom,,
11,8,6,15,7,9,2,1,1.5,1,2,2,2,1.166666667,2,Mixed Snow,"Facets and depth hoar. Very hard, pen",,
11,6,0,15,9,15,6,1,1,2,3,2,3,1.333333333,2.666666667,Depth Hoar,large chains fist hard,,
12,12.5,12.1,12.5,0,0.4,0.4,0.1,0.2,0.1,0.1,0.2,0.1,0.133333333,0.133333333,Round,Small wind rounded crust 1F,,
12,12.1,9,12.5,0.4,3.5,3.1,1,1,2,1,1,3,1.333333333,1.666666667,Mixed Snow,Facets and DH cups fist hard,,
12,9,6,12.5,3.5,6.5,3,0.5,1,0.5,0.5,1,0.5,0.666666667,0.666666667,Round,"Hard Slab, Pen hard really small grains",,
12,6,0,12.5,6.5,12.5,6,1,1,2,3,2,3,1.333333333,2.666666667,Depth Hoar,Cohesive cups 4H,,
13,20.5,12,20.5,0,8.5,8.5,0.25,0.5,0.1,0.25,0.5,0.1,0.283333333,0.283333333,Mixed Snow,Wind rounded and decomp needles 4f,,
13,12,10,20.5,8.5,10.5,2,1,0.5,1,1.5,1,2,0.833333333,1.5,Mixed Snow,Parting. Facets and dh cups 1F,,
13,10,7,20.5,10.5,13.5,3,1,2,2,1.5,3,2.5,1.666666667,2.333333333,Depth Hoar,"DH cups, weak crust on bottom, 4F",,
13,7,0,20.5,13.5,20.5,7,3,2,3,5,4,6,2.666666667,5,Depth Hoar,DH chains fist,,
14,27,18.5,27,0,8.5,8.5,0.2,0.2,0.2,0.2,0.2,0.5,0.2,0.3,Round,"Soft slab /w wind rounded grains, 1F",,
14,18.5,16,27,8.5,11,2.5,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.333333333,Faceted,"Parting, faceted, fist hard",,
14,16,6,27,11,21,10,0.2,0.2,1,0.2,0.5,1,0.466666667,0.566666667,Mixed Snow,"faceted and wind rounded grains, knife hard",,
14,6,0,27,21,27,6,3,3,4,3,5,5,3.333333333,4.333333333,Depth Hoar,"Chains of dh cups, fist hard",,
15,20,16,20,0,4,4,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.3,Round,"Soft slab /w wind rounded grains, 1F.",0,1
15,16,13,20,4,7,3,0.5,0.5,1,0.5,0.75,1.5,0.666666667,0.916666667,Mixed Snow,"Parting, faceted and dh cups, fist",0,0
15,13,2,20,7,18,11,0.5,0.5,1,0.5,0.5,1,0.666666667,0.666666667,Mixed Snow,"Facets and wind rounded grains, knife hard",0,0
15,2,0,20,18,20,2,1,2,1,1.5,2,1.5,1.333333333,1.666666667,Depth Hoar,"DH cups, no chains, very thin, fist",0,0
17,12,8.5,12,0,3.5,3.5,0.1,0.1,0.25,0.1,0.1,0.25,0.15,0.15,Round,"Soft wind slab, 1F",0,1
17,8.5,8,12,3.5,4,0.5,1,1.5,1,1,3,2,1.166666667,2,Faceted,"Solid facets, weak layer, fist",0,0
17,8,0,12,4,12,8,2,3,2,3,4,4,2.333333333,3.666666667,Depth Hoar,"Large, cups, few chains, 1F",0,0
18,15,14,15,0,1,1,0.1,0.1,0.25,0.1,0.1,0.25,0.15,0.15,Round,"Small wind crust, 1F",1,0
18,14,10.5,15,1,4.5,3.5,1,1.5,1,1,1.5,1,1.166666667,1.166666667,Faceted,"Solid facets, fist",0,0
18,10.5,8,15,4.5,7,2.5,1,0.5,1,1,0.5,1,0.833333333,0.833333333,Mixed Snow,"Solid facets and wind rounded grains, slab like, pen",0,1
18,8,0,15,7,15,8,2,2,3,3,4,4,2.333333333,3.666666667,Depth Hoar,"Few chains, arge cups, 4F",0,0
19,32,31,32,0,1,1,0.1,0.1,0.25,0.1,0.1,25,0.15,8.4,Round,"Small wind crust, 1F",1,0
