id_pit,hag,pit_snow_depth,hbs,temp_c
1,0,12.5,20,-26.27466078
1,4,12.5,16,-26.40339368
1,8,12.5,12,-26.09731074
1,12,12.5,8,-25.30357624
1,16,12.5,4,-26.28640969
1,20,12.5,0,-26.27466078
1,24,12.5,-4,-26.41504187
2,0,10,-8,-26.57716989
2,4,10,-12,-26.83975774
2,8,10,12,-26.93001921
2,12,10,8,-26.76032801
2,16,10,4,-26.83975774
2,20,10,0,-26.71474888
3,0,19,-4,-23.57844015
3,4,19,-8,-24.18462606
3,8,19,-12,-25.16500202
3,12,19,15,-25.91783427
3,16,19,11,-26.69190697
3,20,19,7,-26.74894628
3,24,19,3,-26.72615673
4,0,20.5,-1,-26.08541233
4,4,20.5,-5,-26.60018799
4,8,20.5,32,-26.41504187
4,12,20.5,28,-26.46154403
5,0,8.5,24,-26.42668099
5,4,8.5,20,-26.68047289
5,8,8.5,16,-26.55411624
5,12,8.5,12,-26.66903003
6,0,20,8,-19.25490113
6,4,20,4,-21.30942858
6,8,20,0,-23.00555185
6,12,20,20,-25.46571631
6,16,20,16,-25.82122707
6,20,20,12,-25.76052991
7,0,20,8,-18.64750809
7,4,20,4,-21.07946789
7,8,20,0,-22.7108216
7,12,20,-4,-24.88396751
7,16,20,17,-24.62385429
8,0,31,13,-17.10291909
8,4,31,9,-19.02988955
8,8,31,5,-20.21153325
8,12,31,1,-21.55206212
8,16,31,-3,-23.32330591
8,20,31,13,-24.55811949
8,24,31,9,-24.41248821
9,0,15.5,5,-16.35965145
9,4,15.5,1,-17.9549968
9,8,15.5,-3,-20.7448872
9,12,15.5,22,-22.47087142
9,16,15.5,18,-23.85698622
9,20,15.5,14,-23.7461804
10,0,13,10,-18.31496608
10,4,13,6,-19.56820537
10,8,13,2,-20.94650486
10,12,13,32,-22.7108216
11,0,15,28,-16.99578289
11,4,15,24,-18.37416555
11,8,15,20,-20.24650336
11,12,15,16,-21.93248093
11,16,15,12,-22.9470596
12,0,12.5,10,-17.3150333
12,4,12.5,6,-18.51143355
12,8,12.5,2,-20.29881096
12,12,12.5,-2,-21.50384061
12,16,12.5,-6,-21.09600794
13,0,20,15,-16.15692015
13,4,20,11,-17.18810742
13,8,20,7,-18.35445724
13,12,20,10,-19.47670983
13,16,20,6,-20.82921476
14,0,27,2,-19.18025749
14,4,27,-2,-20.97985323
14,8,27,-6,-23.03471403
14,12,27,-10,-24.15759177
14,16,27,13,-26.28640969
14,20,27,9,-28.24261597
14,24,27,5,-29.84125016
14,28,27,1,-29.99742617
14,32,27,-3,-29.82276648
14,36,27,21,-29.60851072
15,0,20,17,-20.28139471
15,4,20,16,-21.35826232
15,8,20,12,-23.03471403
15,12,20,8,-26.28640969
15,16,20,4,-27.78249941
15,20,20,0,-27.78249941
15,24,20,-4,-27.82492407
15,28,20,-8,-27.87778464
15,32,20,-12,-27.87778464
17,0,12,12,-18.93516829
17,4,12,8,-20.7786735
17,8,12,4,-23.91208708
17,12,12,0,-26.1091997
17,16,12,-4,-27.43866073
17,20,12,-8,-27.35144199
17,24,12,-12,-27.35144199
18,0,15,15,-17.18810742
18,4,15,11,-19.36620039
18,8,15,7,-22.28840485
18,12,15,3,-23.88456167
18,16,15,-1,-25.11429334
18,20,15,-5,-25.08887481
19,0,32,32,-14.10305717
19,4,32,28,-15.50912351
19,8,32,24,-17.79232166
19,12,32,20,-19.60465344
19,16,32,16,-21.47160872
19,20,32,12,-22.44061106
19,24,32,8,-23.26602348
19,28,32,4,-23.96698843
19,32,32,0,-24.50532491
20,0,20,20,-14.2314581
20,4,20,16,-16.22478561
20,8,20,12,-18.7247367
20,12,20,8,-20.72796629
20,16,20,4,-23.78782747
20,20,20,0,-24.99957056
20,24,20,-4,-25.49050641
21,0,17,17,-19.01099123
21,4,17,13,-20.12376119
21,8,17,9,-21.74344942
21,12,17,5,-23.03471403
21,16,17,1,-24.26544044
21,20,17,-3,-23.99436472
22,0,13,13,-17.37811502
22,4,13,9,-20.87959113
22,8,13,5,-25.56463216
22,12,13,1,-27.75060103
22,16,13,-3,-28.27347249
23,0,22,22,-18.03570679
23,4,22,18,-20.35094249
23,8,22,14,-25.03790866
23,12,22,10,-28.27347249
23,16,22,6,-30.70205482
23,20,22,2,-30.30486182
24,0,32,32,-19.89320139
24,4,32,28,-22.21173037
24,8,32,24,-24.67623686
24,12,32,20,-26.43831104
24,16,32,16,-28.18070902
24,20,32,12,-28.45727031
25,0,10,10,-21.39073229
25,4,10,6,-23.46557539
25,8,10,2,-25.69958613
25,12,10,-2,-25.69958613
25,16,10,-6,-26.06158711
26,0,15,15,-26.06158711
26,4,15,11,-26.62317065
26,8,15,7,-26.96372676
27,0,10,10,-22.22709601
27,4,10,6,-24.15759177
27,8,10,2,-26.18033578
27,12,10,-2,-27.5361734
27,16,10,-6,-27.62231677
27,20,10,-10,-27.98294315
28,0,13,13,-17.37811502
28,4,13,9,-20.87959113
28,8,13,5,-25.56463216
28,12,13,1,-27.75060103
28,16,13,-3,-28.27347249
29,0,21,21,-18.91615487
29,4,21,17,-20.66009676
29,8,21,13,-24.63696698
29,12,21,9,-27.97246084
29,16,21,5,-30.70205482
29,20,21,1,-31.0547491
30,0,13,13,-23.56437781
30,4,13,9,-25.25333317
30,8,13,5,-28.20137349
30,12,13,1,-30.34060903
30,16,13,-3,-31.37416813
30,20,13,-7,-31.1225814
30,24,13,-11,-30.96095985
31,0,13,13,-22.18095276
31,4,13,9,-23.76007546
31,8,13,5,-26.91876638
31,12,13,1,-28.62878081
31,16,13,-3,-29.52381153
31,20,13,-7,-29.10254205
32,0,19,19,-20.42017927
32,4,19,15,-22.27310064
32,8,19,11,-24.98676949
32,12,19,7,-27.07553735
32,16,19,3,-29.32425768
32,20,19,-1,-29.56151602
32,24,19,-5,-29.32425768
32,28,19,-9,-28.97572957
33,0,16,16,-24.19812512
33,4,16,12,-26.91876638
33,8,16,8,-30.5444734
33,12,16,4,-32.08000823
33,16,16,0,-32.88836146
33,20,16,-4,-32.81330051
34,0,16,16,-21.66399422
34,4,16,12,-24.15759177
34,8,16,8,-27.65449201
34,12,16,4,-30.16099149
34,16,16,0,-32.2766236
